EducationLevel,Location,Method,Program,Term,URL,University
Master's degree,"		London, England
", On campus,International Tourism and Hospitality Management - PT (Taught),2 years,https://www.educations.com/study-abroad/london-south-bank-university/international-tourism-and-hospitality-management-pt-taught-907852,London South Bank University
Master's degree,"		London, England
", On campus,Planning Studies and Tourism and Hospitality and Events (Research),2 years,https://www.educations.com/study-abroad/london-south-bank-university/planning-studies-and-tourism-and-hospitality-and-events-research-907828,London South Bank University
Master's degree,"		London, England
", On campus,International Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-greenwich/international-tourism-management-taught-939866,University of Greenwich
Bachelor's degree,"		London, England
", On campus,Travel and Tourism (Accelerated),2 years,https://www.educations.com/study-abroad/gsm-london/travel-and-tourism-accelerated-906502,GSM London
Bachelor's degree,"		London, England
", On campus,International Tourism Management (Mandarin),4 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-mandarin-909184,Middlesex University London
Master's degree,"		Preston, England
", On campus,"Internship in International Tourism, Hospitality and Event Management",2 years,https://www.educations.com/study-abroad/university-of-central-lancashire/internship-in-international-tourism-hospitality-and-event-management-938484,University of Central Lancashire
Master's degree,"		Preston, England
", On campus,"Internship in International Tourism, Hospitality and Event Management",1 year,https://www.educations.com/study-abroad/university-of-central-lancashire/internship-in-international-tourism-hospitality-and-event-management-938483,University of Central Lancashire
Bachelor's degree,"		Grimsby, England
", On campus,Tourism and Business Management (Top-Up),1 year,https://www.educations.com/study-abroad/university-centre-grimsby/tourism-and-business-management-top-up-919200,University Centre Grimsby
Foundation / Pathway program,"		Durham, England
", On campus,Tourism Management,2 years,https://www.educations.com/study-abroad/new-college-durham/tourism-management-909559,New College Durham
Master's degree,"		Birmingham, England
", On campus,International Hospitality Management MSc / PGDip,18 months,https://www.educations.com/study-abroad/university-college-birmingham/international-hospitality-management-msc-pgdip-924408,University College Birmingham
Diploma / certificate,"		Coventry, England
", Online / Distance,"Hotel and Hospitality, University 1st and 2nd Year (Level 4 & 5)",,https://www.educations.com/study-abroad/online-business-school-limited/hotel-and-hospitality-university-1st-and-2nd-year-level-4-5-1266408,Online Business School Limited
Bachelor's degree,"		Manchester, England
", On campus,BA International Hospitality Business Management,,https://www.educations.com/study-abroad/manchester-metropolitan-university/ba-international-hospitality-business-management-1444381,Manchester Metropolitan University
Bachelor's degree,"		Birmingham, England
", On campus,Hospitality with Events Management BA (Hons) / FdA,3 years,https://www.educations.com/study-abroad/university-college-birmingham/hospitality-with-events-management-ba-hons-fda-924417,University College Birmingham
Bachelor's degree,"		Colchester, England
", On campus,Hospitality Management BA,,https://www.educations.com/study-abroad/university-of-essex/hospitality-management-ba-1594485,University of Essex
Bachelor's degree,"		Birmingham, England
", On campus,International Hospitality Business Management BA (Hons) / FdA,3 years,https://www.educations.com/study-abroad/university-college-birmingham/international-hospitality-business-management-ba-hons-fda-924419,University College Birmingham
Master's degree,"		Brighton, England
", On campus,Tourism and International Development,2 years,https://www.educations.com/study-abroad/university-of-brighton/tourism-and-international-development-938174,University of Brighton
Bachelor's degree,"		Nottingham, England
", On campus,Live and Technical Events,3 years,https://www.educations.com/study-abroad/nottingham-trent-university/live-and-technical-events-910834,Nottingham Trent University
Master's degree,"		Birmingham, England
", On campus,Culinary Arts Management MA (Hons) / PGDip,18 months,https://www.educations.com/study-abroad/university-college-birmingham/culinary-arts-management-ma-hons-pgdip-924426,University College Birmingham
Foundation / Pathway program,"		Plymouth, England
", On campus,Hospitality and Tourism Management,2 years,https://www.educations.com/study-abroad/city-college-plymouth/hospitality-and-tourism-management-891135,City College Plymouth
Foundation / Pathway program,"		Plymouth, England
", On campus,Hospitality and Tourism Management,3 years,https://www.educations.com/study-abroad/city-college-plymouth/hospitality-and-tourism-management-891125,City College Plymouth
Bachelor's degree,"		Chichester, England
", On campus,Tourism and Hospitality Management,4 years,https://www.educations.com/study-abroad/university-of-chichester/tourism-and-hospitality-management-929055,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Tourism and Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-chichester/tourism-and-hospitality-management-929056,University of Chichester
Foundation / Pathway program,"		Rotherham, England
", On campus,Tourism and Hospitality Management,2 years,https://www.educations.com/study-abroad/rnn-group/tourism-and-hospitality-management-912157,RNN Group
Diploma / certificate,"		Birmingham, England
", On campus,"Bar, Cocktail and Professional Service Level 2",1 year,https://www.educations.com/study-abroad/university-college-birmingham/bar-cocktail-and-professional-service-level-2-1585766,University College Birmingham
Diploma / certificate,"		Birmingham, England
", On campus,"Mixology, Advanced Wine, Supervision and Events Level 3",1 year,https://www.educations.com/study-abroad/university-college-birmingham/mixology-advanced-wine-supervision-and-events-level-3-1585787,University College Birmingham
Bachelor's degree,"		Newcastle upon Tyne, England
", On campus,International Hospitality and Tourism Management (Top-up),1 year,https://www.educations.com/study-abroad/northumbria-university/international-hospitality-and-tourism-management-top-up-909861,Northumbria University
Bachelor's degree,"		York, England
", On campus,International Tourism and Hospitality Management (with Placement Year),4 years,https://www.educations.com/study-abroad/york-st-john-university/international-tourism-and-hospitality-management-with-placement-year-960402,York St John University
Master's degree,"		Dorset, England
", On campus,International Hospitality and Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/bournemouth-university/international-hospitality-and-tourism-management-taught-897240,Bournemouth University
Master's degree,"		Dorset, England
", On campus,International Hospitality and Tourism Management (Taught),1.5 years,https://www.educations.com/study-abroad/bournemouth-university/international-hospitality-and-tourism-management-taught-897241,Bournemouth University
Bachelor's degree,"		Newcastle upon Tyne, England
", On campus,Tourism and Hospitality Management (Top-up),1 year,https://www.educations.com/study-abroad/newcastle-college/tourism-and-hospitality-management-top-up-912681,Newcastle College
Master's degree,"		Leeds, England
", On campus,International Tourism and Hospitality Management (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/international-tourism-and-hospitality-management-taught-907305,Leeds Beckett University
Diploma / certificate,Multiple (6), On campus,Travel & Tourism,,https://www.educations.com/study-abroad/cdi-college/travel-tourism-94754,CDI College
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-management-919795,Sheffield Hallam University
Bachelor's degree,"		Stoke on Trent, England
", On campus,Tourism Management (top-up),1 year,https://www.educations.com/study-abroad/staffordshire-university/tourism-management-top-up-916857,Staffordshire University
Foundation / Pathway program,"		Middlesbrough, England
", On campus,Travel and Tourism,2 years,https://www.educations.com/study-abroad/middlesbrough-college/travel-and-tourism-908267,Middlesbrough College
Master's degree,"		Liverpool, England
", On campus,International Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-tourism-management-taught-904543,Liverpool John Moores University
Master's degree,"		London, England
", On campus,Planning Studies and Tourism and Hospitality and Events (Research),1 year,https://www.educations.com/study-abroad/london-south-bank-university/planning-studies-and-tourism-and-hospitality-and-events-research-907834,London South Bank University
Bachelor's degree,"		Bournemouth, England
", On campus,BA (Hons) Tourism Management,,https://www.educations.com/study-abroad/bournemouth-university/ba-hons-tourism-management-84012,Bournemouth University
Foundation / Pathway program,"		Blackpool, England
", On campus,Tourism Management,2 years,https://www.educations.com/study-abroad/blackpool-and-the-fylde-college/tourism-management-897078,Blackpool and the Fylde College
Bachelor's degree,"		Liverpool, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/liverpool-hope-university/tourism-management-899759,Liverpool Hope University
Bachelor's degree,"		London, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/st-marys-university-twickenham/tourism-management-922678,"St Mary's University, Twickenham"
Bachelor's degree,"		London, England
", On campus,Travel and Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-west-london/travel-and-tourism-management-964525,University of West London
Bachelor's degree,"		London, England
", On campus,Tourism Planning and Management,3 years,https://www.educations.com/study-abroad/university-of-westminster/tourism-planning-and-management-961091,University of Westminster
Bachelor's degree,"		Bedford, England
", On campus,International Tourism Management (Sandwich),4 years,https://www.educations.com/study-abroad/university-of-bedfordshire/international-tourism-management-sandwich-925991,University of Bedfordshire
Diploma / certificate,"		Loughborough, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/loughborough-college/travel-and-tourism-management-905595,Loughborough College
Diploma / certificate,"		Northampton, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/university-of-northampton/travel-and-tourism-management-945664,University of Northampton
Bachelor's degree,"		London, England
", On campus,Tourism Management  (Top-up),1 year,https://www.educations.com/study-abroad/university-of-westminster/tourism-management-top-up-961070,University of Westminster
Bachelor's degree,"		Middlesbrough, England
", On campus,International Tourism Management,1 year,https://www.educations.com/study-abroad/university-of-teesside/international-tourism-management-920904,Teesside University
Bachelor's degree,"		Huddersfield, England
", On campus,Travel and Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-huddersfield/travel-and-tourism-management-941290,University of Huddersfield
Bachelor's degree,"		Blackpool, England
", On campus,Tourism Management (Top up),1 year,https://www.educations.com/study-abroad/blackpool-and-the-fylde-college/tourism-management-top-up-897079,Blackpool and the Fylde College
Diploma / certificate,"		Wakefield, England
", On campus,Travel and Tourism Management HNC,1 year,https://www.educations.com/study-abroad/wakefield-college/travel-and-tourism-management-hnc-964283,Wakefield College
Bachelor's degree,"		Liverpool, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-tourism-management-904542,Liverpool John Moores University
Diploma / certificate,"		Dudley, England
", On campus,Travel & Tourism Management HNC,1 year,https://www.educations.com/study-abroad/dudley-college/travel-tourism-management-hnc-897603,Dudley College
Bachelor's degree,"		London, England
", On campus,International Tourism Management (Spanish),4 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-spanish-909182,Middlesex University London
Bachelor's degree,"		Hatfield, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/international-tourism-management-940514,University of Hertfordshire
Diploma / certificate,"		Sunderland, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/sunderland-college/travel-and-tourism-management-917262,Sunderland College
Diploma / certificate,"		Wigan, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/wigan-and-leigh-college/travel-and-tourism-management-963644,Wigan and Leigh College
Foundation / Pathway program,"		Liverpool, England
", On campus,Tourism and Leisure,2 years,https://www.educations.com/study-abroad/city-of-liverpool-college/tourism-and-leisure-894777,City of Liverpool College
Bachelor's degree,"		London, England
", On campus,Tourism Management with Language,3 years,https://www.educations.com/study-abroad/university-of-greenwich/tourism-management-with-language-939854,University of Greenwich
Bachelor's degree,"		London, England
", On campus,BA (Hons) International Tourism Management,3 years,https://www.educations.com/study-abroad/the-london-college/ba-hons-international-tourism-management-918188,The London College
Foundation / Pathway program,"		London, England
", On campus,Event Management with Tourism with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-tourism-with-placement-964749,University of West London
Bachelor's degree,"		York, England
", On campus,Tourism Management with Foundation Year,4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-with-foundation-year-960458,York St John University
Bachelor's degree,"		Chester, England
", On campus,International Tourism Management and Marketing Management,4 years,https://www.educations.com/study-abroad/university-of-chester/international-tourism-management-and-marketing-management-934067,University of Chester
Bachelor's degree,"		Plymouth, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/tourism-management-951413,University of Plymouth
Bachelor's degree,"		Plymouth, England
", On campus,Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/tourism-management-951414,University of Plymouth
Master's degree,"		Sheffield, England
", On campus,International Tourism Management (Taught),15 months,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-management-taught-919796,Sheffield Hallam University
Diploma / certificate,"		Barnsley, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/university-campus-barnsley/travel-and-tourism-management-919093,University Campus Barnsley
Diploma / certificate,"		London, England
", On campus,HND International Travel & Tourism Management,2 years,https://www.educations.com/study-abroad/the-london-college/hnd-international-travel-tourism-management-918198,The London College
Master's degree,"		Guildford, England
", On campus,Strategic Hotel Management MSc,1 year,https://www.educations.com/study-abroad/university-of-surrey/strategic-hotel-management-msc-1470835,University of Surrey
Master's degree,"		Guildford, England
", On campus,International Hospitality Management with Digital Innovation MSc,,https://www.educations.com/study-abroad/university-of-surrey/international-hospitality-management-with-digital-innovation-msc-1497534,University of Surrey
Master's degree,"		Guildford, England
", On campus,International Events Management MSc,1 year,https://www.educations.com/study-abroad/university-of-surrey/international-events-management-msc-1470820,University of Surrey
Master's degree,"		Bedford, England
", On campus,Tourism (Research),2 years,https://www.educations.com/study-abroad/university-of-bedfordshire/tourism-research-925997,University of Bedfordshire
Diploma / certificate,"		Walsall, England
", On campus,Hospitality Management HNC,1 year,https://www.educations.com/study-abroad/walsall-college/hospitality-management-hnc-964337,Walsall College
Bachelor's degree,"		London, England
", On campus,Tourism Management (Extended),5 years,https://www.educations.com/study-abroad/university-of-greenwich/tourism-management-extended-939852,University of Greenwich
Bachelor's degree,"		London, England
", On campus,Tourism Management (Extended),4 years,https://www.educations.com/study-abroad/university-of-greenwich/tourism-management-extended-939853,University of Greenwich
Bachelor's degree,"		Bury, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/bury-college/international-tourism-management-890159,Bury College
Bachelor's degree,"		Chester, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-chester/international-tourism-management-934063,University of Chester
Diploma / certificate,"		London, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/uk-college-of-business-and-computing/travel-and-tourism-management-922387,UK College of Business and Computing
Bachelor's degree,"		London, England
", On campus,Tourism Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/university-of-east-london/tourism-management-with-foundation-year-924717,University of East London
Diploma / certificate,"		Truro, England
", On campus,Hospitality Management,1 year,https://www.educations.com/study-abroad/truro-and-penwith-college/hospitality-management-924261,Truro and Penwith College
Master's degree,"		Oxford, England
", On campus,International Hotel and Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-hotel-and-tourism-management-taught-911598,Oxford Brookes University
Master's degree,"		Birmingham, England
", On campus,Global Meetings and Events Management MSc / PGDip,18 months,https://www.educations.com/study-abroad/university-college-birmingham/global-meetings-and-events-management-msc-pgdip-924462,University College Birmingham
Bachelor's degree,"		Bath, England
", On campus,Business and Management (Festivals and Events) BA (Hons),3 years,https://www.educations.com/study-abroad/bath-spa-university/business-and-management-festivals-and-events-ba-hons-1265487,Bath Spa University
Diploma / certificate,"		Birmingham, England
", On campus,"Bakery Level 2, Level 3",1 year,https://www.educations.com/study-abroad/university-college-birmingham/bakery-level-2-level-3-1585765,University College Birmingham
Bachelor's degree,Multiple (3), On campus,International Hotel Management (BA),2 years,https://www.educations.com/study-abroad/university-of-wales-trinity-saint-david/international-hotel-management-ba-962680,University of Wales Trinity Saint David
Master's degree,"		Cornwall, England
", Online / Distance,Creative Events Management MA (Online),,https://www.educations.com/study-abroad/falmouth-university/creative-events-management-ma-online-1582081,Falmouth University
Diploma / certificate,"		London, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/abi-college/hospitality-management-885131,ABI College
Master's degree,"		Preston, England
", On campus,International Hospitality and Tourism Management,1 year,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-and-tourism-management-938485,University of Central Lancashire
Master's degree,"		Preston, England
", On campus,International Hospitality and Tourism Management,2 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-and-tourism-management-938486,University of Central Lancashire
Master's degree,"		Plymouth, England
", On campus,Tourism and Hospitality Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-plymouth/tourism-and-hospitality-management-taught-951415,University of Plymouth
Master's degree,"		Plymouth, England
", On campus,Tourism and Hospitality Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-plymouth/tourism-and-hospitality-management-taught-951416,University of Plymouth
Bachelor's degree,"		Preston, England
", On campus,Hospitality and Tourism Management (Cyprus),4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/hospitality-and-tourism-management-cyprus-929523,University of Central Lancashire
Bachelor's degree,"		York, England
", On campus,International Tourism and Hospitality Management,3 years,https://www.educations.com/study-abroad/york-st-john-university/international-tourism-and-hospitality-management-960404,York St John University
Diploma / certificate,"		Chichester, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/chichester-college/hospitality-management-891148,Chichester College
Master's degree,"		Guildford, England
", On campus,International Hotel Management MSc,1 year,https://www.educations.com/study-abroad/university-of-surrey/international-hotel-management-msc-1470822,University of Surrey
Master's degree,"		London, England
", On campus,MA Events & Experience Management,,https://www.educations.com/study-abroad/goldsmiths-university-of-london/ma-events-experience-management-1610682,"Goldsmiths, University of London"
Master's degree,"		Leeds, England
", On campus,International Tourism and Hospitality Management (Taught),2 years,https://www.educations.com/study-abroad/leeds-beckett-university/international-tourism-and-hospitality-management-taught-907306,Leeds Beckett University
Master's degree,"		Leeds, England
", On campus,International Tourism and Hospitality Management (Taught),2 years,https://www.educations.com/study-abroad/leeds-beckett-university/international-tourism-and-hospitality-management-taught-907307,Leeds Beckett University
Master's degree,"		Liverpool, England
", On campus,International Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-tourism-management-taught-904544,Liverpool John Moores University
Bachelor's degree,"		London, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-909185,Middlesex University London
Foundation / Pathway program,"		Nottingham, England
", On campus,Tourism Management (International Tourism),2 years,https://www.educations.com/study-abroad/nottingham-college/tourism-management-international-tourism-910210,Nottingham College
Bachelor's degree,"		Hatfield, England
", On campus,"Tourism with European Language (French, German, Spanish)",4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/tourism-with-european-language-french-german-spanish-940526,University of Hertfordshire
Bachelor's degree,"		Dorset, England
", On campus,Tourism Management,4 years,https://www.educations.com/study-abroad/bournemouth-university/tourism-management-897245,Bournemouth University
Bachelor's degree,"		Cambridge (England), England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/anglia-ruskin-university/tourism-management-888885,Anglia Ruskin University
Foundation / Pathway program,"		Preston, England
", On campus,"Tourism, Events and Hospitality Management",2 years,https://www.educations.com/study-abroad/university-of-central-lancashire/tourism-events-and-hospitality-management-929536,University of Central Lancashire
Master's degree,"		Hatfield, England
", On campus,"International Tourism, Hospitality and Event Management (Taught)",2 years,https://www.educations.com/study-abroad/university-of-hertfordshire/international-tourism-hospitality-and-event-management-taught-940520,University of Hertfordshire
Master's degree,"		London, England
", Online / Distance,"Hospitality, Sport and Tourism Management (Taught)",18 months,https://www.educations.com/study-abroad/london-school-of-business-and-finance/hospitality-sport-and-tourism-management-taught-899974,London School of Business and Finance
Bachelor's degree,"		Newcastle upon Tyne, England
", On campus,Tourism and Events Management,4 years,https://www.educations.com/study-abroad/northumbria-university/tourism-and-events-management-909987,Northumbria University
Diploma / certificate,"		Salford, England
", On campus,HNC Travel & Tourism Management,1 year,https://www.educations.com/study-abroad/salford-city-college/hnc-travel-tourism-management-916663,Salford City College
Diploma / certificate,"		Salford, England
", On campus,HND Travel & Tourism Management,2 years,https://www.educations.com/study-abroad/salford-city-college/hnd-travel-tourism-management-916664,Salford City College
Foundation / Pathway program,"		London, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/university-of-west-london/travel-and-tourism-management-964526,University of West London
Bachelor's degree,"		Plymouth, England
", On campus,"Hospitality, Tourism and Events Management",1 year,https://www.educations.com/study-abroad/university-of-plymouth/hospitality-tourism-and-events-management-951425,University of Plymouth
Bachelor's degree,"		Loughborough, England
", On campus,Tourism Management (Top-Up),1 year,https://www.educations.com/study-abroad/loughborough-college/tourism-management-top-up-905594,Loughborough College
Diploma / certificate,"		Kent, England
", On campus,International Travel and Tourism Management,1 year,https://www.educations.com/study-abroad/north-kent-college/international-travel-and-tourism-management-909642,North Kent College
Diploma / certificate,"		Nuneaton, England
", On campus,Travel and Tourism Management HNC,1 year,https://www.educations.com/study-abroad/north-warwickshire-and-south-leicestershire-college/travel-and-tourism-management-hnc-909718,North Warwickshire and South Leicestershire College
Bachelor's degree,"		York, England
", On campus,Tourism Management (With Placement),4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-with-placement-960395,York St John University
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism Management (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-management-top-up-919798,Sheffield Hallam University
Bachelor's degree,"		London, England
", On campus,Tourism Management with Language,4 years,https://www.educations.com/study-abroad/university-of-greenwich/tourism-management-with-language-939855,University of Greenwich
Doctorate / PhD,"		Cheltenham, England
", On campus,Leisure and Tourism (Research),3 years,https://www.educations.com/study-abroad/university-of-gloucestershire/leisure-and-tourism-research-939453,University of Gloucestershire
Doctorate / PhD,"		Cheltenham, England
", On campus,Leisure and Tourism (Research),6 years,https://www.educations.com/study-abroad/university-of-gloucestershire/leisure-and-tourism-research-939454,University of Gloucestershire
